Tarifa,Tipo Traslado,Origen,Destino,Tipo Vehículo,Precio,Notas
Económico,Punto a Punto,San Luis Potosí,San Miguel de Allende,SEDAN,3210,CUALQUIER DESTINO EN LA CIUDAD DE SAN LUIS POTOSÍ
Económico,Punto a Punto,San Miguel de Allende,San Luis Potosí,SEDAN,3210,CUALQUIER DESTINO EN LA CIUDAD DE SAN LUIS POTOSÍ
Económico,Punto a Punto,San Luis Potosí,San Miguel de Allende,VAN,6821.25,CUALQUIER DESTINO EN LA CIUDAD DE SAN LUIS POTOSÍ
Económico,Punto a Punto,San Miguel de Allende,San Luis Potosí,VAN,6821.25,CUALQUIER DESTINO EN LA CIUDAD DE SAN LUIS POTOSÍ
Económico,Punto a Punto,Zacatecas,San Miguel de Allende,SEDAN,8560,CUALQUIER DESTINO EN LA CIUDAD DE ZACATECAS
Económico,Punto a Punto,San Miguel de Allende,Zacatecas,SEDAN,8560,CUALQUIER DESTINO EN LA CIUDAD DE ZACATECAS
Económico,Punto a Punto,Zacatecas,San Miguel de Allende,VAN,14177.5,CUALQUIER DESTINO EN LA CIUDAD DE ZACATECAS
Económico,Punto a Punto,San Miguel de Allende,Zacatecas,VAN,14177.5,CUALQUIER DESTINO EN LA CIUDAD DE ZACATECAS
Económico,Local,,Capilla de Jimmy Ray,SEDAN,428,
Económico,Local,,Capilla de Jimmy Ray,VAN,1765.5,
Económico,Local,,Casa Adela,SEDAN,428,
Económico,Local,,Casa Adela,VAN,1765.5,
Económico,Local,,Casa de Aves,SEDAN,535,
Económico,Local,,Casa de Aves,VAN,1872.5,
Económico,Local,,Central de Autobuses,SEDAN,160.5,
Económico,Local,,Central de Autobuses,VAN,1284,
Económico,Local,,Club de Golf Malanquín,SEDAN,160.5,
Económico,Local,,Club de Golf Malanquín,VAN,1284,
Económico,Local,,Club de Golf Ventanas,SEDAN,160.5,
Económico,Local,,Club de Golf Ventanas,VAN,1284,
Económico,Local,,Escondido Place,SEDAN,374.5,
Económico,Local,,Escondido Place,VAN,1605,
Económico,Local,,Fábrica La Aurora,SEDAN,160.5,
Económico,Local,,Fábrica La Aurora,VAN,1284,
Económico,Local,,Finca Luna Serena,SEDAN,535,
Económico,Local,,Finca Luna Serena,VAN,1872.5,
Económico,Local,,Hacienda Calderon,SEDAN,535,
Económico,Local,,Hacienda Calderon,VAN,1872.5,
Económico,Local,,Hacienda Herencia de Allende,SEDAN,428,
Económico,Local,,Hacienda Herencia de Allende,VAN,1765.5,
Económico,Local,,Hacienda Los Picachos,SEDAN,214,
Económico,Local,,Hacienda Los Picachos,VAN,1391,
Económico,Local,,Hacienda Los Arcángeles,SEDAN,214,
Económico,Local,,Hacienda Los Arcángeles,VAN,1391,
Económico,Local,,Hacienda San José La Vista,SEDAN,428,
Económico,Local,,Hacienda San José La Vista,VAN,1765.5,
Económico,Local,,Hacienda Puerto de Sosa,SEDAN,642,
Económico,Local,,Hacienda Puerto de Sosa,VAN,1979.5,
Económico,Local,,Helipuerto Los Gerez,SEDAN,214,
Económico,Local,,Helipuerto Los Gerez,VAN,1391,
Económico,Local,,La Casona,SEDAN,160.5,
Económico,Local,,La Casona,VAN,1284,
Económico,Local,,La Candelaria,SEDAN,321,
Económico,Local,,La Candelaria,VAN,1605,
Económico,Local,,Finca La Devocion,SEDAN,428,
